Name,PTS,QB,RB,WR,TE,Run%,Pass%,,,,,
DET,33.2,21,34.4,34.3,10.5,47.80%,52.20%,,,,,
TB,29.5,23.5,27.7,34.6,9.1,44.10%,55.90%,,,,,
BAL,30.5,25.9,28.5,22.8,16.9,52.50%,47.50%,,,,,
CIN,27.8,23.7,17.7,39.2,11.7,35.20%,64.80%,,,,,
GB,27.1,17.6,24.3,30.4,9,51.20%,48.80%,,,,,
ATL,22.9,14.8,25.4,32,6.8,45.60%,54.40%,,,,,
BUF,30.9,24.1,26.9,18.4,7.5,47.90%,52.10%,,,,,
ARI,23.5,18.4,22.9,21,14.7,44.70%,55.30%,,,,,
PHI,27.2,20.7,22.5,25,8.3,55.70%,44.30%,,,,,
WAS,28.5,24.5,21.4,19.8,9.8,47.80%,52.20%,,,,,
MIA,20.3,11.6,18.4,21,12,41.40%,58.60%,,,,,
HOU,21.9,14.6,19.9,21.4,7.1,41%,59%,,,,,
DEN,25,19.7,9.8,27.3,5.8,43.70%,56.30%,,,,,
KC,22.6,17.8,13,16.5,14.4,41.20%,58.80%,,,,,
SF,22.9,17.3,12.1,18.9,12.3,44.50%,55.50%,,,,,
IND,22.2,10.3,17.7,29.4,3.1,47.60%,52.40%,,,,,
CAR,20.1,16,14.5,22.1,6,41.30%,58.70%,,,,,
CHI,18.2,16,15.9,18.8,5.7,40.60%,59.40%,,,,,
LAR,21.6,14.7,18.5,18,4.7,43.30%,56.70%,,,,,
NE,17,11,15,17.5,12,43.40%,56.60%,,,,,
MIN,25.4,0,15.2,32.9,7.3,43.40%,56.60%,,,,,
NO,19.9,5.1,16.2,15.5,16.7,43%,57%,,,,,
LAC,23.6,17.5,3.8,23.9,5.4,45.50%,54.50%,,,,,
NYG,16.1,0.8,15.9,28.1,4.9,39.90%,60.10%,,,,,
JAC,18.8,9.3,14.2,20.3,4.2,41.70%,58.30%,,,,,
DAL,20.6,7.7,1.8,28.7,7.8,38.90%,61.10%,,,,,
TEN,18.3,7.8,17.7,11.2,8,43.60%,56.40%,,,,,
SEA,22.1,0,20.6,14.2,8.4,37.20%,62.80%,,,,,
NYJ,19.9,1.2,20.1,19.9,1.1,35.90%,64.10%,,,,,
LV,18.2,5.9,2.9,17.3,14,35.70%,64.30%,,,,,
CLE,15.2,4.7,8.5,17,7.7,35%,65%,,,,,
PIT,22.4,0,8.2,7.1,10.8,49.30%,50.70%,,,,,